distancia_x,inclinacion
71697,-0.0047
71805,0.0009
71916,0.0108
72021,-0.0218
72127,-0.0028
72240,0.0027
72354,0.0009
72467,0.0071
72581,0.0053
72688,0.0047
72794,-0.0066
72906,0.0134
73006,0.005
73114,0.0205
73219,-0.0009
73323,0.001
73432,-0.0037
73541,-0.011
73651,-0.0009
73755,-0.0029
73858,-0.0048
73970,-0.0071
74081,-0.0009
74184,0.0
74297,0.0009
74408,0.0
74519,0.0009
74628,-0.0028
74736,0.0037
74836,0.005
74945,0.0192
75050,0.02
75153,0.0176
75266,0.0177
75376,0.0191
75481,0.0229
75593,0.0233
75701,0.025
75805,0.025
75911,0.0245
76016,0.0142
76125,0.0037
76229,0.001
76339,0.0009
76443,-0.0096
76551,-0.0131
76653,-0.0254
76762,-0.0257
76873,-0.0243
76982,-0.0228
77096,-0.0229
77212,-0.0181
77329,-0.0179
77441,-0.017
77548,-0.0141
77653,-0.0227
77757,-0.0019
77860,0.0
77961,-0.0049
78078,0.0
78180,-0.001
78281,-0.0039
78386,-0.0038
78497,0.0163
78603,-0.0217
78706,-0.0039
78813,-0.0009
78925,0.0036
79033,0.0028
79144,0.0054
79251,0.0056
79357,0.0019
79463,0.0085
79576,0.0009
79685,0.0074
79793,0.0175
79905,-0.0018
80016,-0.0009
80129,-0.0106
80240,-0.0027
80352,-0.0018
80456,-0.0058
80568,-0.0018
80675,-0.0047
80785,-0.0018
80891,0.0009
81001,0.0
81113,-0.0018
81226,0.0026
81339,0.0
81454,0.0043
81569,0.0183
81681,0.0205
81792,0.0172
81894,0.0176
81996,0.0187
82106,0.0228
82210,0.023
82321,0.0252
82425,0.0251
82530,0.0247
82634,0.0125
82745,0.0072
82853,0.0009
82954,0.001
83063,-0.0064
83174,-0.0143
83276,-0.0255
83379,-0.0252
83486,-0.0243
83596,-0.0236
83707,-0.0225
83817,-0.0192
83927,-0.0173
84036,-0.0174
84142,-0.0208
84257,-0.0174
84369,-0.0036
84479,0.0
84581,-0.0029
84686,0.0019
84791,0.0
84894,-0.001
85003,-0.0055
85114,0.0036
85215,-0.0098
85328,-0.0089
85435,-0.0009
85546,0.0027
85657,0.0036
85769,0.0054
85877,0.0046
85984,0.0028
